komentarClean,cluster
mknya wrg urgent lgsg rumah sakit bidan gamungkin puskes puskesnya dijalankan sgn max,5
prnh tgh mlm melahirkan lgsg bawa rumah sakit puskesmas cuman tmpt rujukan mls berobat grgr dijudesin mulu,5
pkm ditempat loket rumah sakit jam buka jm tutup kepoli bentrok jalur bpjs buka set bedanya baya,5
bayar bpjs repot,5
puskes disya kudu lumpuh rujukan rumah sakit maenn,5
lha rumangsanya petugas rumah sakit call center kementerian pns pns kudu nurut enak digaji negara,5
kabar rumah sakit tim sar pemadam kebakaran satpam call center kerja jam efektif kah,5
bolak rumah sakit minggu dokter perawat magang anak sma,5
relevan jam sgtu kecuali sifatnya urgent sprti rumah sakit,5
ngab ngurus cetak kartu bpjs bilang ditutup jam siang,5
sakit libur geser sakit,5
tmpt klinik bpjs cm smpe jam buka jam,5
cek keaktifan bpjs online via bot whatsapp dibatasi jam,5
puskesmas dtempat buka jam tutup jam dibikin ribet ruujuk rumah sakit dikasih,5
rumah sakit pemerintah jam siftan kepolisian tni siftan pns,5
rumah sakit libur minimarket libur pekerjanya libur,5
woi rumah sakit shiftan kecuali klw perusahaan pakai shiftan itupun masi perusahaan pakai shiftan,5
inget komen inget gubernur ngamuk rumah sakit gara perawat tidur jam kerja shift malam,5
tergantung tingkat urgensinya rumah sakit berhubungan nyawa parah nunggu besok jam igdnya,5
layanan publik blok rumah sakit tutup jam sore mati korban kecelakaan malam,5
bikin sakit hati sakit gigi kepuskemas tensi darah aneh periksa bisu omongan,5
penggantinya masak sakit ditunda,5
puskesmas deket rumah jam,5
dimana jam maksimal darurat kesehatan langsung rumah sakit mengurus surat jm kerja,5
yes khusus puskesmas larang sakit libur sakit berobat hri libur,5
kerja shift diterapkan pelayanan publik ambil contoh dirumah sakit,5
namanya pelayanan publik buka jam rumah sakit gajih gede kerjanya cuman sebentar,5
rumah sakit pns masuk kerja jam kerja pns digaji rumah sakit,5
fikir bpjs nggak byar bayar brooo,5
