komentarClean,cluster
wahaha honor cm ribu sbulanmlh suka guru ganti pns datangnya telat,2
kerja seninjumat seninsabtu terbiasa apel pagi upacara senin guru,2
guru senin sabtu jam jam sore,2
tengok gaji guru honor terealisasi,2
nasib fresgraduate pendidikan guru sekolah sekolah menerima honorer cpns diganti,2
gamau guru ngeliat perjuangan susah menganjurkan guru,2
motivasi guru cpnspns woww,2
kasih saran guru ngajak perang,2
iyakah mgkn mesti dipilih guru tersinggung,2
massaya guru mumet online,2
buku paket lengkap cuy materi bukugaada materi dikasih guru,2
persetan ruang guru buku paketlks is best,2
gaji honorer gaji dibawah,2
honorer ahr honorer dihapuskan,2
guru honorer resign ngelamar krisis guru menteri komisi x ide,2
guru berdasarkan kinerja mengajarbanyak guru mengabdi berkompeten linier ijazah,2
ratakan status pendidik indonesia guru dosen negeri swasta,2
butp kadang kuliah pertimbangan keuangan guru honorer usia,2
terima kasih yusuf memperjuangkan guru indonesia butuh,2
guru butuh yusuf,2
betah engga nurani guru indah kenikmatan mengajar mendidik siswa nyaman dibanding,2
guru honorer peraturannya gaada guru nerima pns dikemanain guru honorer,2
guru mengikuti ppg meninggalkan siswa mengikutinyadan belajar guru fokus mengajar portofolio,2
berbobot terima kasih dedy yusuf mewakili suara rakyat terkhusus guru,2
masya mksh dedy memperjuangan hidup guru terharuu kangg,2
guru gaji dibawah,2
utamakan guru ngabdi puluhan lulusan ppgbukan menteri cari guru ngajar untukikut ppg jalur,2
tolong menteri guru non formal guru paud kya pelosok guru honorer diperhatikan,2
terhormat guru swasta mengabi th bis direkrut pkmaturnuwun,2
terima kasih yusuf memperjuangkan guru,2
fyp ditiktok yahhpak yusuf lgsg netes airmata beliau slalu melindungi dunia pendidikan guru honorer luluspg,2
tunjangan profesi guru dihapus terima kasih responnya,2
kebijakan guru mengabdi kemenag honor pemda,2
masyaallah kasihan guru honorer nggak lolos ppg nilainya rendah pengalaman karir sekolah,2
good job yusuf mohon peejuangkan nasib guru sukwan honorer bertahan bertahunsmp th mohon dipersulit kesempatan,2
barakallah yusuf aspirasi mewakili guru didengar kemdikbud direalisasikan,2
terimakasih mohon bantuan guru honorer madrasah diangkat asn,2
kebijakan guru honorer,2
tolong guru honorer,2
kurikulum indonesia berubahubah guru honorer sekolah swasta susah sertifikasi,2
perjuangkan nasib guru honorer,2
guru honorerguru pns anak didik indonesia hak pendidikannya mohon perhatikan,2
kasihan guru pretest ppg berkali lulusada guru bertahuntahun ngajar lulus pretest ppg,2
tolong perjuangkan guru honor,2
apalah daya guru swasta smk honor susah ppg susah lulus,2
bpk perkenalkan honorer smp negeri sekolah guru tolong tenaga administrasi honorer terutaka kategori,2
terima kasih dukungannyaa ppg guru jujur jikalo dipersulit uji pengetahuan multiple choice,2
yusuf salut peduli dunia pendidikan beserta nasib guru guru merana sehat sll,2
usul hapuskan sistem rombel sertifikasi guru tkkrna tk gururombeljd guru dpt sertifikasi mskpun slulus plpg,2
yusuf lirik guru paud,2
yusuf tolong perhatikan guru tk,2
nyleneh karir guru,2
terimakasih usia th sertifikasi ppgtlng dibantu suara guru terimaksih,2
kasihan guru honor pda usia mak syarat ppgseperti suami mengabdi thn hya guru honorer sj,2
kembalikan anak anak belajar nyata guru guru honorer dilindungi,2
terimakasih yusuf menyuarakan suara guru honorer tolong guru honorer diangkat pns pakkasian guru honorer gajinya,2
mudhan kebijakan ttg sekolah kesehatan guru km kalimantan kekurangan dokter guru,2
mohon maaf pakbagai guru masuk kategori boro ppg nasib jelasmohon dipertimbangkanterima kas,2
terima kasih mewakili suara guru pendidikan,2
guru puluhan thn mengajar kebijakan plpg lolos berkali pretest terusdede yusuf,2
terimakasih mewakili harapan sahabat guru plpg memberkahi,2
sertifikasi guru swasta mohon dibuka inpassing,2
dipikirkan jngn guru sd guru kelompok bermain tuntutan hak diterima kbijakan,2
trimakasih dedi memperjuangkan nasib guru,2
terima kasih dedy yusuf mewakili suara rakyat terkhususnya guru,2
lulus kuliah pendidikan ngapain guru mulia butuh makan,2
yusuf terimakasih aspirasi guru,2
guru masuk pns pppk,2
paksaya guru kebijakan nadiem membantu pendidikan,2
menteri menciptakan sistem pendidikan anganku sekolah guru bersyukur bgtttt,2
guru kontrak why,2
enak nggak guru pns,2
tolong guru swasta terangkat mengajar swastakami samasama pendidik tolong,2
mudahan mendukung pnegangkatan guru honorer tertinggal diangkat itundari negeri swasta,2
sertifikasi hapuskan susah guru honorer,2
perjuangkan gaji guru swasta linier pdhal mengajar puluhan,2
guru kemenag menangis hatinya sakit,2
mohon guru inpasing diangkat asn,2
guru swasta tpg remunerasi,2
mohon gaji guru tk dipikirkan hy mengajar tk butuh kesejahteraan pd dasarx tk pondasi pendidikan,2
mewakili guru honorer swasta slalu daftar negeri alias diknas,2
guru honorer mohon diangkat pns,2
kurikulum trs trs berubah menyusah guru murid murid ntah indonesia maju,2
yusuf terima kasih mewakili guru indonesia,2
salam hormat guru honorer madura,2
terima kasih paktolong kli test ppg lolos guru honorer thn,2
nasib guru bakti sertifikasi pns,2
kepala kosong guru pensiun diganti guru guru honorer diangkat serjana,2
subhanallah perhatikan guru honorer bpkyg mengajar th,2
trimakasih yusuf mohon guru honorer suwasta mohon pikirkan,2
alloh benarbenar berjuang keadilan guru non asn,2
guru kemenag puluhan diperhatikan usia diatas th,2
guru honor negri swasta kejelasan kesejahteraan,2
bangtop toplanjutkan aspirasi masyarakat disuarakanjuga beritahukan menteri honorer contohnya guru honorer perha,2
asslkm yusuf bsar harapn guru tk mengabdi smpai thn stdkny prhtian pmrinth sdngkn guru tk,2
kg dedetuhan berkati perjuangannya ut guru,2
sebenarny ktk membicarakn guru sedih effort gaji diterima sebandingteruta honorer sprt yusuf,2
terima kasih yusuf sudahemperjuangbkan guru,2
mantaf paksaya sbgai guru ppg skrag mcem persulitud x tes gagalsmntra gampag ppg ngerilah mw ppg ne ngetes guru smpe jrigan sush,2
suara kn guru honorer hmmmm,2
mewakili isi hati guru good job mr yusuf ucapan terimakasih guru swasta,2
respect memperjuangkan hakhak guru indonesia,2
cm guru diperjuangkan sekolah tenaga kependidikan diperhatikan,2
senangnya pembahasan guru diangkat,2
guru honorer gunung antrian dipnskan solusinya dipnskan naikan kesejahteraan plusplus,2
alloh yusuf sngat mewakilsaya istri honorer sedihdan guru honorer hapus,2
hatur nuhun mewakili suara keluhan guru plpg berubah ppg,2
trima ksh patlh peduli pd guru,2
terima kasih yusuf memperjuangkan nasib kmi guru,2
terima kasih dukungannya guru mohon maaf papua suda ppg lulus mohon solusi,2
mewakili menyuarakan nasib guru matur nuwun sanget mes yusuf,2
adakah kebijakan guru pppk guru honorer merata kelayakan upah diterima guru tonggak,2
guru usia diatas th lulus ppg adl wajar materi berat kebijakan khusus guru tsb terhargai,2
dewan ppg tolonglah guru gtt pengabdian th usia th lolos ppg kebijakan,2
guru keluhan dipersulitnya guru sertifikat pendidik program keahlian ganda ikuti program,2
trima kasih yusuf engkaulah harapan pendidik guru meninggal ppg brarti tuntutan ppg sdgkn,2
th ppg peraturan haruskan kuliah bentrok biaya gaji guru,2
kuliah mahal gaji guru guruku,2
berharap bpk dpat membantu kebijakan pemerintah menghapus guru honorer kasihan guru honorer,2
yusuf mohon maaf guru honorer daerah kabupaten tangerang guru honorer dihapuskan pemerintah,2
jurusan pendidikan lulus cpns guru dihapus,2
sedihnya guru honorer menerima gaji bnr disangka juta tlong bantu in,2
nasib guru honorer,2
guru honorer dri beban krjanya ngalahin guru pns gimna yaak klnjutannya,2
guru w selesai daerah terealisasi eh berubah kurikulum merdeka,2
operator ruang angkat pns sprti guru honorer,2
trimakash bpk dedikasinya membela guru sejahtera,2
guru guru swasta sekolah diperhatikan,2
guru produktif keterampilan smk sertifikat akui berstandart industri ppg lgi,2
guru besok kurikulum yaklo salah berbasis it,2
beliau menteri pendidikan insyaallah baikkrn mengerti guru lapangan,2
guru dh ppg meningkatkan kualitas guru bagus dkasih pelatihan bkn sulit,2
guru honorer anak tirikan,2
yusuf kurikulum berubah guru honorer usia kejelasanbiaya tuk sekolah dokter mhl,2
tolong prhatikan guru honorer,2
klopun guru angkat pns semuasetidaknya digaji umrsbab tes kecolongan orangnya ngajar lulus,2
trimakasih memperjuangkan guru indonesia,2
gaji mahal tolong dipangkas umr keadilan sosial guru diknas madrasah merata,2
guru buwaaaaanyak guru madrasah mersa anak tirikan andil pendidikan plosok angkat pppk impasing,2
tolong bahas guru honorer kasian pppk cpns semudah dibayangkan,2
terima kasih berjuang guru indonesia menunggu pengumuman hasil preetest ppg lulusaamiin,2
dedi tolong menteri inpasing guru non pns dibuka,2
dipaksakan mengangkat guru honorer pppk didukung apbn membebani apbd batas maksimal blnja pegawai,2
yusuf percepatan sk guru pppk,2
terimakasih perpanjangan suara guru yusuf,2
lelah guru honorer dihapus,2
honor tendik itungan tambahan jabatan guru blom s maln kuliah gjh segtumkn snenkmis,2
guru lulus p daerah smpek sk mohon dibantu menteri lambat april sk juni,2
tolong prnh brhenti perjuangan guru honor sht sllu,2
yusuf luarbiasasehat bgtolong pejuang guru honorer perawat pendidikan kesehatan garda terdepan,2
kuota guru tk swasta perbanyak,2
guru mesti kuliah x ppg ppg guru hebat mendidik anak bangsa,2
hidup yusuf i love u kebijakan guru please,2
terharu menyuarakan guru,2
respect yusuf terima kasih tlah mewakili aspirasi guru indonesia,2
guru sd honorer gajinya terima itupun,2
dpt undangan ppg slh satunya guru skolahku,2
guru honorer swasta kasian,2
ak tolong perkara baju guru pppk asn disamakan honor,2
karana kasihan guru ngabdi belasan,2
terima kasih terharu guru diperhatikan,2
kasihan lulus ppg pangkat kasihan nasibku guru,2
akun resmi mohon bantuan guru tenaga honorer aturan penghapusan tenaga honorer th,2
konsisten memperjuangkan guru tercatat angkat inpassing perhatian komisi trimakasih,2
trima kasih yusufsehat slalu paksemoga nasib guru honorer gajinya becanda,2
guru prov dpt tpg tpp knpa guru kab dg guru prov menteri,2
menteri guru tenaga diperhatikan gaji propinsi gaji kota bedanya,2
menteri tolong guru non formal guru paud diperhatikan,2
istri guru smk negeri bogor mdhn mendikbud pilih guru muda agara karirnya maksimum umur th kmrin,2
mohon menteri guru sejahterakan tentara dokter polisi menteri presiden berasal guru menteri,2
tetaplah aspirasi guru yusufsehat umur,2
guru honorer sekolah negeri bpk th,2
assalamualaikum honor guru pekanbaru sngt mengharapkn diangkat pns isu honor dihapuskn memasuki krisis guru,2
bahas honorer sedih dgr berita honorer,2
no komen cb turun lpangan beekomentar didunia pendidikan gaji guru umr membela,2
komentar lapangan guru tenaga medis dibawah umr dibawah juta mohon kebijakanya,2
nasib guru honorer isue guru honorer tiadakan,2
